hitman_id,hitman_alias,region,contact_number,successful_hits,speciality,hit_rate_cost
66,Tomkin,North West,6494895938,108,Blackmail,14415.73
67,Lazare,Eastern Cape,6613786085,103,Blackmail,12750.55
68,Maurits,Limpopo,9356547950,182,Murder,12164.51
69,Rochell,Western Cape,3145178162,156,Intimidation,10362.13
70,Mable,Gauteng,8595873667,158,Torture,7643.53
71,Chrystel,Western Cape,8367019281,32,Blackmail,11975.27
72,Moise,Western Cape,8377968858,188,Blackmail,5047.36
73,Kerwinn,Gauteng,9845122326,143,Blackmail,7516.7
74,Loy,Eastern Cape,5956489877,162,Intimidation,14216.77
75,Erna,Freestate,5537483580,36,Murder,4069.86
76,Andromache,Mpumalanga,9423078421,156,Torture,11033.35
77,Marshal,Western Cape,1519255442,134,Stalking,8683.4
78,Bengt,Limpopo,6599110422,89,Intimidation,12972.15
79,Valentina,Western Cape,9989847981,30,Stalking,3996.07
80,Ricky,Freestate,3266628215,131,Stalking,4579.17
81,Tony,Mpumalanga,1808814118,36,Blackmail,10506.04
82,Bea,Limpopo,8936700991,76,Murder,4944.89
83,Andris,Kwazulu Natal,3798880580,6,Torture,4745.1
84,Boony,Gauteng,6153706918,35,Intimidation,9214.6
85,Bobby,Limpopo,6612012161,145,Murder,5692.63
86,Carolyn,Mpumalanga,5233706957,172,Blackmail,6205.78
87,Bunny,Western Cape,7821309740,178,Blackmail,3054.72
88,Helen,North West,7988947198,80,Stalking,3199.08
89,Felizio,Freestate,1426391792,108,Intimidation,3837.14
90,Celestyn,Eastern Cape,1505927927,195,Stalking,12539.5
91,Cindee,Mpumalanga,6302419031,68,Murder,8044.59
92,Wilfred,Limpopo,8991459212,56,Intimidation,3217.58
93,Newton,Freestate,3145609096,2,Stalking,8017.62
94,Ailis,North West,5068853043,156,Intimidation,12970.11
95,Livvie,Mpumalanga,3605416526,132,Murder,14729.67
96,Urbain,North West,1255520796,150,Blackmail,13467.82
97,Charline,Gauteng,1644423724,183,Intimidation,6817.38
98,Hastie,Mpumalanga,4059682922,11,Stalking,4703.26
99,Ailee,Northern Cape,5719171876,33,Stalking,4972.09
100,Solomon,Kwazulu Natal,2308789854,94,Stalking,12227.75
